decimalLatitude,decimalLongitude
41.7833333333333,41.2166666666667
46.35965,31.1054666666667
35.601667,140.064167
35.399167,139.869444
42.2333333333333,39.8833333333333
35.604167,139.966111
44.61,33.56
45.66666667,31.25055556
41.78355,41.2196166666667
41.7833333333333,41.2166666666667
43.4183333333333,32.8731833333333
43.52596667,36.06971667
35.643889,139.993333
37.0999984741,126.300003052
46.2254,31.6065
45.8325,31
35.601667,140.064167
41.9331166666667,40.8367166666667
46.44375,30.77216667
46.39333333,31.72416667
44.61,33.56
44.62,33.51
44.2162333333333,31.3041333333333
35.485,139.91
35.485,139.91
46.00042,31.25068
37.2000007629,126.400001526
35.241667,139.833333
45.2166666666667,31.2333333333333
44.62,33.45
35.485,139.91
46.06361111,30.47027778
35.643889,139.993333
35.399167,139.869444
11.25635,-74.21803
35.551111,139.908889
44.62,33.51
41.9331166666667,40.8367166666667
44.1667,29.1333
35.551111,139.908889
35.608333,139.898333
45.29861111,29.77388889
35.480833,139.820556
35.399167,139.869444
37.4000015259,126.5
43.4166666666667,32.8666666666667
46.59593,31.08635
44.2162333333333,31.3041333333333
45.87333333,30.25305556
35.551111,139.908889
44.2162333333333,31.3041333333333
35.551111,139.908889
46.3675,30.73027778
35.537222,140.0225
46.08402,30.50453
45.3386333333333,30.2518
35.604167,139.966111
46.39333333,31.72416667
42.23565,39.88095
35.549167,139.854722
34.74644722,127.6652361
35.241667,139.833333
37.5,125.400001526
45.66666667,31.25055556
45.2158833333333,31.235
35.537222,140.0225
43.4183333333333,32.8731833333333
35.643889,139.993333
44.62,33.45
35.551111,139.908889
46.4275,30.76833333
45.81868333,31.1242
35.643889,139.993333
35.604167,139.966111
35.399167,139.869444
37.2000007629,126.400001526
37.0999984741,126.300003052
34.745825,127.6647694
35.593333,139.836667
46.60111111,31.03147222
44.61,33.56
44.62,33.45
45.66628333,31.25093333
35.643889,139.993333
35.608333,139.898333
35,128.699996948
44.0187,28.6816
44.61,33.56
33.74726,-118.23092
35.537222,140.0225
35.306111,139.714444
35.643889,139.993333
35.9900016785,126.650001526
42.1137,40.3368833333333
41.7833333333333,41.2166666666667
46.44375,30.77216667
6.93699979782,79.8199996948
35.485,139.91
41.78355,41.2196166666667
35.643889,139.993333
35.485,139.91
45.66725,31.24943
35.608333,139.898333
33.76942,-118.22586
35.480833,139.820556
44.61,33.56
44.62,33.45
35.241667,139.833333
42.1137,40.3368833333333
35.549167,139.854722
35.485,139.91
37,126.099998474
45.2158833333333,31.235
45.2166666666667,31.2333333333333
35.485,139.91
35.643889,139.993333
34.74733611,127.6659028
35.601667,140.064167
37,126.099998474
44.62,33.51
44.61,33.56
42.2333333333333,39.8833333333333
35.399167,139.869444
35.399167,139.869444
46.4835333333333,31.8255
35.561667,140.076667
45.83177,31.01587
35.485,139.91
46.00067,31.2501
35.608333,139.898333
46.00042,31.25068
35.04866944,128.962175
35.399167,139.869444
35.643889,139.993333
42.23565,39.88095
35.415833,139.754722
35.537222,140.0225
45.50698,30.50377
44.1667,29.3667
45.8325,31
41.78355,41.2196166666667
35.549167,139.854722
44.62,33.51
44.61,33.56
35.604167,139.966111
35.601667,140.064167
35.485,139.91
43.52596667,36.06971667
44.6767,29.4742
37.4000015259,126.5
42.1137,40.3368833333333
46.43852778,30.77216667
46.39333333,31.72416667
44.61,33.56
35.643889,139.993333
43.3697166666667,34.7733166666667
44.61,33.56
35.551111,139.908889
35.601667,140.064167
43.4,31.8333333333333
35.551111,139.908889
34.74720278,127.6658028
46.43852778,30.77216667
45.2158833333333,31.235
44.1582,31.56745
35.255556,139.762778
35.643889,139.993333
42.1,40.3333333333333
41.78355,41.2196166666667
37,126.099998474
44.85,31.3333333333333
34.425,135.125
35.485,139.91
45.31557,29.7835
35.604167,139.966111
44.61,33.56
46.35965,31.1054666666667
46.4275,30.76833333
45.66666667,31.25055556
37.5,126.599998474
41.9331166666667,40.8367166666667
44.61,33.56
43.75378333,31.71048333
35.561667,140.076667
42.1137,40.3368833333333
35.601667,140.064167
37,126.099998474
43.3697166666667,34.7733166666667
37,126.099998474
35.601667,140.064167
35.537222,140.0225
44.62,33.45
44.62,33.45
44.61,33.56
44.1667,28.7833
45.2158833333333,31.235
44.62,33.45
45.83293,31.0103
35.643889,139.993333
37,126.099998474
35.535,139.818611
35.601667,140.064167
35.537222,140.0225
34.74626944,127.6651028
38.05,-122.25
35.601667,140.064167
44.62,33.51
35.399167,139.869444
35.604167,139.966111
46.59593,31.08635
45.66628333,31.25093333
35.608333,139.898333
35.604167,139.966111
35.608333,139.898333
46.4275,30.76833333
42.1137,40.3368833333333
44.62,33.51
45.66683,31.24977
43.945,28.7267
35.608333,139.898333
35.537222,140.0225
46.62722222,31.17377778
35.241667,139.833333
45.3333333333333,29.8333333333333
35.480833,139.820556
42.1137,40.3368833333333
35.601667,140.064167
43.5333333333333,36.0666666666667
44.1667,29.3667
44.62,33.51
33.87538889,130.7450278
35.643889,139.993333
35.485,139.91
35.353333,139.72
42.1137,40.3368833333333
44.62,33.51
45.8325,31
35.551111,139.908889
44.61,33.56
44.61,33.56
11.32184,-74.08196
44.0187,28.6816
35.604167,139.966111
44.62,33.45
35.551111,139.908889
35.551111,139.908889
46.59593,31.08635
35.643889,139.993333
43.5333333333333,36.0666666666667
44.1216333333333,31.5631666666667
35.601667,140.064167
44.61,33.56
35.566389,139.828333
35.643889,139.993333
35.485,139.91
35.551111,139.908889
35.535,139.818611
35.608333,139.898333
45.66666667,31.25055556
35.480833,139.820556
44.62,33.51
35.549167,139.854722
35.551111,139.908889
35.255556,139.762778
37.0999984741,126.300003052
44.62,33.51
35.537222,140.0225
35.593333,139.836667
46.39333333,31.72416667
35.537222,140.0225
35.399167,139.869444
44.61,33.56
44.2347,28.8472
34.74711389,127.6657361
35.5499992371,126.190002441
35.643889,139.993333
35.399167,139.869444
35.601667,140.064167
35.399167,139.869444
45.8325,31
42.2333333333333,39.8833333333333
35.643889,139.993333
43.5333333333333,36.0666666666667
45.19998333,29.81026667
35.549167,139.854722
35.608333,139.898333
33.86697222,130.7515556
35.601667,140.064167
35.601667,140.064167
34.74595833,127.6648694
44.2347,28.8472
34.74680278,127.6655028
41.7833333333333,41.2166666666667
44.6767,29.4742
35.551111,139.908889
35.480833,139.820556
35.561667,140.076667
43.7989,28.6278
42.0172,40.57865
42.2345,39.88601667
44.4667,28.9
44.1667,28.6833
35.399167,139.869444
43.3998333333333,31.81945
43.75378333,31.71048333
45.66666667,31.25055556
44.61,33.56
35.551111,139.908889
35.399167,139.869444
35.604167,139.966111
43.4183333333333,32.8731833333333
35.608333,139.898333
35.608333,139.898333
45.60305556,29.78388889
46.4275,30.76833333
35.399167,139.869444
35.485,139.91
35.537222,140.0225
35.608333,139.898333
43.36748333,31.83323333
35.551111,139.908889
34.747425,127.6659694
46.45172222,30.76927778
35.485,139.91
43.945,28.7267
34.746625,127.6653694
35.608333,139.898333
45.51615,29.86213333
42.1137,40.3368833333333
43.4183333333333,32.8731833333333
41.7833333333333,41.2166666666667
35.643889,139.993333
46.60111111,31.03147222
37.0999984741,126.300003052
35.537222,140.0225
35.537222,140.0225
43.945,28.6442
35.485,139.91
44.62,33.51
35.551111,139.908889
35.485,139.91
43.4183333333333,32.8731833333333
44.61,33.56
35.643889,139.993333
35.485,139.91
46.55297222,30.76919444
44.62,33.51
35.551111,139.908889
35,129
35.399167,139.869444
35.537222,140.0225
-33.8300018311,151.169998169
46.35965,31.1054666666667
35.537222,140.0225
45.8325,31
44.61,33.56
35.537222,140.0225
44.61,33.56
45.66666667,31.25055556
43.7511,28.6131
35.549167,139.854722
46.61138889,31.46138889
44.62,33.45
34.1451,-119.21178
44.61,33.56
35.608333,139.898333
35.551111,139.908889
44.85,31.3333333333333
35.537222,140.0225
46.06361111,30.47027778
46.55297222,30.76919444
37.2000007629,126.400001526
46.62722222,31.17377778
45.87333333,30.25305556
35.601667,140.064167
37.0999984741,126.300003052
42.23565,39.88095
44.62,33.51
42.1137,40.3368833333333
35.399167,139.869444
35.551111,139.908889
44.1667,28.6833
35.501667,139.803333
34.74586944,127.6648028
35.549167,139.854722
46.22194444,31.66694444
35.604167,139.966111
35.643889,139.993333
44.1667,28.7833
35.608333,139.898333
35.643889,139.993333
35.485,139.91
35.551111,139.908889
37.4000015259,126.5
44.62,33.45
44.61,33.56
44.1582,31.56745
35.643889,139.993333
35.561667,140.076667
45.81868333,31.1242
35.601667,140.064167
35.601667,140.064167
43.945,28.6442
35.561667,140.076667
45.66666667,31.25055556
44.1216333333333,31.5631666666667
45.05143333,31.16225
35.04841667,128.9628944
44.61,33.56
46.35965,31.1054666666667
35.643889,139.993333
33.71474,-118.27272
42.1137,40.3368833333333
46.3675,30.73027778
45.66725,31.24943
35.608333,139.898333
35.608333,139.898333
37,129.399993896
44.1667,29.1333
35.485,139.91
35.480833,139.820556
35.551111,139.908889
44.61,33.56
44.61,33.56
35.604167,139.966111
35.608333,139.898333
35.608333,139.898333
46.45172222,30.76927778
35.399167,139.869444
41.78355,41.2196166666667
41.78411667,41.21356667
35.4000015259,129.399993896
42.23565,39.88095
35.601667,140.064167
44.1667,28.6833
35.551111,139.908889
35.399167,139.869444
44.83101667,31.33103333
35.241667,139.833333
35.604167,139.966111
46.35965,31.1054666666667
35.549167,139.854722
44.62,33.51
35.643889,139.993333
46.00042,31.25068
35.537222,140.0225
35.608333,139.898333
44.2162333333333,31.3041333333333
46.3333333333333,31.00205
41.78355,41.2196166666667
32.64374,-117.12357
34.74724722,127.6658361
35.549167,139.854722
35.399167,139.869444
44.1667,28.9
35.549167,139.854722
44.63605,31.3883
35.480833,139.820556
35.485,139.91
35.551111,139.908889
35.31525,129.2607194
45.60013,29.78452
33.76363,-118.25015
35.537222,140.0225
43.34456667,34.4132
34.74609167,127.6649694
42.1137,40.3368833333333
35.485,139.91
42.2333333333333,39.8833333333333
35.443611,139.773333
35.480833,139.820556
45.66667,31.25065
35.608333,139.898333
35.608333,139.898333
11.32184,-74.08196
35.537222,140.0225
46.44375,30.77216667
42.2333333333333,39.8833333333333
35.485,139.91
35.561667,140.076667
43.945,28.6739
46.0006,31.24923
35.601667,140.064167
42.1137,40.3368833333333
35.601667,140.064167
35.535,139.818611
41.9331166666667,40.8367166666667
35.537222,140.0225
35.601667,140.064167
35.399167,139.869444
35.399167,139.869444
35.537222,140.0225
45.05143333,31.16225
41.9331166666667,40.8367166666667
43.7511,28.6211
35.608333,139.898333
35.643889,139.993333
37.2000007629,126.400001526
42.1137,40.3368833333333
44.62,33.51
44.62,33.51
46.59593,31.08635
35.551111,139.908889
35.537222,140.0225
35.551111,139.908889
45.66666667,31.25055556
35.643889,139.993333
37.95856,-122.46457
35.608333,139.898333
43.4183333333333,32.8731833333333
44.62,33.51
35.537222,140.0225
35.537222,140.0225
44.6767,29.4742
43.945,28.7267
44.1216333333333,31.5631666666667
35.485,139.91
37.5,126.599998474
46.50891667,30.82386667
35.601667,140.064167
44.85,31.3333333333333
41.78355,41.2196166666667
44.61,33.56
37.85951,-122.38843
43.945,28.6739
37.2000007629,126.400001526
44.62,33.51
35.399167,139.869444
37.2000007629,126.400001526
35.415833,139.754722
35.643889,139.993333
35.537222,140.0225
45.87333333,30.25305556
35.485,139.91
35.485,139.91
45.15,29.8166666666667
35.485,139.91
35.601667,140.064167
35.04836667,128.9630222
35.415833,139.754722
46.19666667,30.65555556
35.551111,139.908889
43.5333333333333,36.0666666666667
45.19998333,29.81026667
35.551111,139.908889
35.566389,139.828333
41.9331166666667,40.8367166666667
44.62,33.45
35.480833,139.820556
35.549167,139.854722
43.3998333333333,31.81945
46.2,30.8316666666667
35.241667,139.833333
35.601667,140.064167
35.9000015259,129.600006104
35.399167,139.869444
42.2333333333333,39.8833333333333
35.561667,140.076667
43.75378333,31.71048333
46.32456667,31.46665
46.53635,30.77958
35.241667,139.833333
44.61,33.56
44.62,33.45
35.608333,139.898333
44.62,33.45
44.63605,31.3883
35.399167,139.869444
45.66725,31.24943
35.04843889,128.9637194
35.608333,139.898333
46.61138889,31.46138889
44.61,33.56
35.643889,139.993333
35.643889,139.993333
44.2347,28.8472
35.561667,140.076667
35.601667,140.064167
45.2158833333333,31.235
46.55297222,30.76919444
35.551111,139.908889
44.61,33.56
43.4166666666667,32.8666666666667
35.593333,139.836667
37.2000007629,126.400001526
35.485,139.91
43.4,31.8333333333333
45.2166666666667,31.2333333333333
44.1582,31.56745
44.62,33.51
42.1137,40.3368833333333
35.485,139.91
43.7989,28.6278
34.746225,127.6650694
46.35965,31.1054666666667
35.608333,139.898333
35.549167,139.854722
35.608333,139.898333
43.3998333333333,31.81945
35.485,139.91
35.255556,139.762778
33.73225,-118.22935
37.4000015259,126.5
44.61,33.56
35.601667,140.064167
46.55297222,30.76919444
44.61,33.56
44.61,33.56
46.49416667,30.74927778
35.480833,139.820556
37.5,126.599998474
35.643889,139.993333
45.66725,31.24943
34.74600278,127.6649028
35.537222,140.0225
44.62,33.45
35.551111,139.908889
44.61,33.56
35.537222,140.0225
34.74755833,127.6660694
43.3998333333333,31.81945
35.485,139.91
35.601667,140.064167
41.78411667,41.21356667
35.643889,139.993333
46.60111111,31.03147222
35.549167,139.854722
42.1137,40.3368833333333
44.62,33.51
43.5333333333333,36.0666666666667
35.306111,139.714444
44.85,31.3333333333333
43.4183333333333,32.8731833333333
43.4166666666667,32.8666666666667
35.549167,139.854722
35.551111,139.908889
35.608333,139.898333
35.593333,139.836667
35.561667,140.076667
35.480833,139.820556
35.601667,140.064167
35.480833,139.820556
46.50891667,30.82386667
43.4,31.8333333333333
35.415833,139.754722
37.5999984741,126.199996948
44.61,33.56
35.551111,139.908889
44.1667,29.3667
35.485,139.91
45.66666667,31.25055556
46.3675,30.73027778
35.551111,139.908889
35.480833,139.820556
35.537222,140.0225
46.00042,31.25068
35.608333,139.898333
42.1,40.3333333333333
35.608333,139.898333
35.353333,139.72
11.2372,-74.22131
35.601667,140.064167
35.643889,139.993333
44.63605,31.3883
35.537222,140.0225
46.60111111,31.03147222
35.608333,139.898333
35.381667,139.718333
9.64999961853,99.6500015259
35.399167,139.869444
37.4000015259,126.5
43.7989,28.6278
44.61,33.56
46.43852778,30.77216667
46.49416667,30.74927778
35.443611,139.773333
35.608333,139.898333
35.604167,139.966111
35.399167,139.869444
42.2333333333333,39.8833333333333
34.74613611,127.6650028
35.601667,140.064167
35.415833,139.754722
44.1216333333333,31.5631666666667
35.399167,139.869444
44.61,33.56
44.61,33.56
35.549167,139.854722
35.601667,140.064167
46.35965,31.1054666666667
46.49416667,30.74927778
35.551111,139.908889
42.23565,39.88095
34.74640278,127.6652028
45.8218,30.30863333
11.25635,-74.21803
44.62,33.51
35.31537222,129.2622722
35.480833,139.820556
45.60013,29.78452
35.211667,139.761944
32.64374,-117.12357
43.4183333333333,32.8731833333333
37.2000007629,126.400001526
35.608333,139.898333
24.3449993134,124.141998291
36.5699996948,126.410003662
35.551111,139.908889
44.61,33.56
44.61,33.56
35.604167,139.966111
35.601667,140.064167
34.74671389,127.6654361
43.34456667,34.4132
34.15102,-119.20673
32.69318,-117.23064
35.485,139.91
44.61,33.56
35.549167,139.854722
35.537222,140.0225
35.399167,139.869444
35.415833,139.754722
35.485,139.91
35.399167,139.869444
44.62,33.45
35.551111,139.908889
35.399167,139.869444
46.19666667,30.65555556
44.62,33.45
35.4,139.793
35.485,139.91
35.443611,139.773333
35.353333,139.72
