locationID	scientificName	taxonRank
Site A	Acartia tonsa	species
Site A	Ammothea hilgendorfi	species
Site A	Amphibalanus amphitrite	species
Site A	Amphibalanus improvisus	species
Site A	Ampithoe valida	species
Site A	Anguillicola crassus	species
Site A	Antithamnionella ternifolia	species
Site A	Aplidium glabrum	species
Site A	Aurelia coerulea	species
Site A	Austrominius modestus	species
Site A	Baccharis halimifolia	species
Site A	Balanus glandula	species
Site A	Bispira polyomma	species
Site A	Boccardia proboscidea	species
Site A	Boccardiella hamata	species
Site A	Bonamia ostreae	species
Site A	Botrylloides diegensis	species
Site A	Botrylloides violaceus	species
Site A	Bugula neritina	species
Site A	Bugulina simplex	species
Site A	Bugulina stolonifera	species
Site A	Callinectes sapidus	species
Site A	Calyptospadix cerulea	species
Site A	Caprella mutica	species
Site A	Caulacanthus okamurae	species
Site A	Cephalothrix simula	species
Site A	Chelicorophium curvispinum	species
Site A	Codium fragile	species
Site A	Cordylophora caspia	species
Site A	Coscinodiscus wailesii	species
Site A	Crepidula fornicata	species
Site A	Cryptorchestia garbinii	species
Site A	Dasysiphonia japonica	species
Site A	Diadumene lineata	species
Site A	Dikerogammarus villosus	species
Site A	Diplosoma listerianum	species
Site A	Ensis leei	species
Site A	Eriocheir sinensis	species
Site A	Euplana gracilis	species
Site A	Fenestrulina delicia	species
Site A	Ficopomatus enigmaticus	species
Site A	Gammarus tigrinus	species
Site A	Gobiosoma bosc	species
Site A	Gonionemus vertens	species
Site A	Gracilaria vermiculophylla	species
Site A	Grandidierella japonica	species
Site A	Haliclona xena	species
Site A	Haloa japonica	species
Site A	Heleobia charruana	species
Site A	Hemigrapsus sanguineus	species